timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781303320425,7,BorrowBookRequest,404,Not Found,Thread Group 1-11,text,false,,290,219,1,1,http://localhost:5133/api/loans,7,0,0
1781303320432,6,BorrowBookRequest,404,Not Found,Thread Group 1-11,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303320438,5,BorrowBookRequest,404,Not Found,Thread Group 1-11,text,false,,288,219,1,1,http://localhost:5133/api/loans,5,0,0
1781303320443,5,BorrowBookRequest,404,Not Found,Thread Group 1-11,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303320448,8,BorrowBookRequest,404,Not Found,Thread Group 1-11,text,false,,290,219,1,1,http://localhost:5133/api/loans,8,0,0
1781303320456,6,BorrowBookRequest,404,Not Found,Thread Group 1-11,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303320463,7,BorrowBookRequest,404,Not Found,Thread Group 1-11,text,false,,289,219,1,1,http://localhost:5133/api/loans,7,0,0
1781303320470,6,BorrowBookRequest,404,Not Found,Thread Group 1-11,text,false,,287,218,1,1,http://localhost:5133/api/loans,6,0,0
1781303320476,7,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-11,text,false,,327,218,1,1,http://localhost:5133/api/loans,7,0,0
1781303320491,7,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-11,text,false,,326,218,1,1,http://localhost:5133/api/loans,7,0,0
1781303320673,9,BorrowBookRequest,404,Not Found,Thread Group 1-12,text,false,,290,220,1,1,http://localhost:5133/api/loans,8,0,2
1781303320682,7,BorrowBookRequest,404,Not Found,Thread Group 1-12,text,false,,289,218,1,1,http://localhost:5133/api/loans,7,0,0
1781303320689,6,BorrowBookRequest,404,Not Found,Thread Group 1-12,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303320695,4,BorrowBookRequest,404,Not Found,Thread Group 1-12,text,false,,290,220,1,1,http://localhost:5133/api/loans,4,0,0
1781303320700,6,BorrowBookRequest,404,Not Found,Thread Group 1-12,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303320706,4,BorrowBookRequest,404,Not Found,Thread Group 1-12,text,false,,290,219,1,1,http://localhost:5133/api/loans,4,0,0
1781303320710,4,BorrowBookRequest,404,Not Found,Thread Group 1-12,text,false,,290,219,1,1,http://localhost:5133/api/loans,4,0,0
1781303320715,4,BorrowBookRequest,404,Not Found,Thread Group 1-12,text,false,,290,218,1,1,http://localhost:5133/api/loans,4,0,0
1781303320720,5,BorrowBookRequest,404,Not Found,Thread Group 1-12,text,false,,290,218,1,1,http://localhost:5133/api/loans,5,0,0
1781303320725,5,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-12,text,false,,327,219,1,1,http://localhost:5133/api/loans,5,0,0
1781303320925,6,BorrowBookRequest,404,Not Found,Thread Group 1-13,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,1
1781303320932,5,BorrowBookRequest,404,Not Found,Thread Group 1-13,text,false,,290,218,1,1,http://localhost:5133/api/loans,5,0,0
1781303320938,5,BorrowBookRequest,404,Not Found,Thread Group 1-13,text,false,,290,219,1,1,http://localhost:5133/api/loans,5,0,0
1781303320943,4,BorrowBookRequest,404,Not Found,Thread Group 1-13,text,false,,290,219,1,1,http://localhost:5133/api/loans,4,0,0
1781303320948,4,BorrowBookRequest,404,Not Found,Thread Group 1-13,text,false,,290,219,1,1,http://localhost:5133/api/loans,4,0,0
1781303320953,6,BorrowBookRequest,404,Not Found,Thread Group 1-13,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303320959,7,BorrowBookRequest,404,Not Found,Thread Group 1-13,text,false,,290,219,1,1,http://localhost:5133/api/loans,7,0,0
1781303320965,7,BorrowBookRequest,404,Not Found,Thread Group 1-13,text,false,,290,220,1,1,http://localhost:5133/api/loans,7,0,0
1781303320972,5,BorrowBookRequest,404,Not Found,Thread Group 1-13,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303320978,9,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-13,text,false,,327,219,1,1,http://localhost:5133/api/loans,9,0,0
1781303321174,6,BorrowBookRequest,404,Not Found,Thread Group 1-14,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,1
1781303321180,6,BorrowBookRequest,404,Not Found,Thread Group 1-14,text,false,,288,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303321186,4,BorrowBookRequest,404,Not Found,Thread Group 1-14,text,false,,290,220,1,1,http://localhost:5133/api/loans,4,0,0
1781303321191,7,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-14,text,false,,327,217,1,1,http://localhost:5133/api/loans,6,0,0
1781303321198,7,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-14,text,false,,327,218,1,1,http://localhost:5133/api/loans,7,0,0
1781303321205,6,BorrowBookRequest,404,Not Found,Thread Group 1-14,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303321211,6,BorrowBookRequest,404,Not Found,Thread Group 1-14,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303321217,6,BorrowBookRequest,404,Not Found,Thread Group 1-14,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303321223,6,BorrowBookRequest,404,Not Found,Thread Group 1-14,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303321229,7,BorrowBookRequest,404,Not Found,Thread Group 1-14,text,false,,290,220,1,1,http://localhost:5133/api/loans,7,0,0
1781303321421,6,BorrowBookRequest,404,Not Found,Thread Group 1-15,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,1
1781303321427,3,BorrowBookRequest,404,Not Found,Thread Group 1-15,text,false,,290,219,1,1,http://localhost:5133/api/loans,3,0,0
1781303321431,9,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-15,text,false,,327,219,1,1,http://localhost:5133/api/loans,9,0,0
1781303321440,4,BorrowBookRequest,404,Not Found,Thread Group 1-15,text,false,,290,219,1,1,http://localhost:5133/api/loans,4,0,0
1781303321445,4,BorrowBookRequest,404,Not Found,Thread Group 1-15,text,false,,290,220,1,1,http://localhost:5133/api/loans,4,0,0
1781303321449,5,BorrowBookRequest,404,Not Found,Thread Group 1-15,text,false,,290,219,1,1,http://localhost:5133/api/loans,5,0,0
